Date;Country;Sales_208;Market;SegmentMix
2007-01-01;DE;1908;229458;16.2122
2007-02-01;DE;1897;228112;16.2122
2007-03-01;DE;2815;338540;16.2122
2007-04-01;DE;2152;258861;16.2122
2007-05-01;DE;2447;294356;16.2122
2007-06-01;DE;2554;307115;16.2122
2007-07-01;DE;2176;261660;16.2122
2007-08-01;DE;1925;231551;16.2122
2007-09-01;DE;2143;257777;16.2122
2007-10-01;DE;2125;255513;16.2122
2007-11-01;DE;2235;268788;16.2122
2007-12-01;DE;1800;216433;16.2122
2008-01-01;DE;1601;225222;14.418
2008-02-01;DE;1592;223900;14.418
2008-03-01;DE;2362;332289;14.418
2008-04-01;DE;1806;254082;14.418
2008-05-01;DE;2054;288921;14.418
2008-06-01;DE;2143;301445;14.418
2008-07-01;DE;1826;256829;14.418
2008-08-01;DE;1616;227276;14.418
2008-09-01;DE;1799;253018;14.418
2008-10-01;DE;1783;250795;14.418
2008-11-01;DE;1875;263825;14.418
2008-12-01;DE;1510;212437;14.418
2009-01-01;DE;2589;277491;21.159
2009-02-01;DE;2574;275863;21.159
2009-03-01;DE;3820;409407;21.159
2009-04-01;DE;2921;313049;21.159
2009-05-01;DE;3321;355974;21.159
2009-06-01;DE;3465;371404;21.159
2009-07-01;DE;2952;316433;21.159
2009-08-01;DE;2613;280022;21.159
2009-09-01;DE;2909;311739;21.159
2009-10-01;DE;2883;309000;21.159
2009-11-01;DE;3033;325054;21.159
2009-12-01;DE;2442;261739;21.159
2010-01-01;DE;848;212555;15.6086
2010-02-01;DE;843;211308;15.6086
2010-03-01;DE;1251;313602;15.6086
2010-04-01;DE;956;239792;15.6086
2010-05-01;DE;1088;272673;15.6086
2010-06-01;DE;1135;284492;15.6086
2010-07-01;DE;967;242385;15.6086
2010-08-01;DE;856;214494;15.6086
2010-09-01;DE;952;238789;15.6086
2010-10-01;DE;944;236691;15.6086
2010-11-01;DE;993;248988;15.6086
2010-12-01;DE;800;200490;15.6086
2011-01-01;DE;749;231315;13.868
2011-02-01;DE;744;229957;13.868
2011-03-01;DE;1105;341279;13.868
2011-04-01;DE;845;260955;13.868
2011-05-01;DE;961;296738;13.868
2011-06-01;DE;1002;309600;13.868
2011-07-01;DE;854;263777;13.868
2011-08-01;DE;756;233425;13.868
2011-09-01;DE;841;259863;13.868
2011-10-01;DE;834;257580;13.868
2011-11-01;DE;877;270963;13.868
2011-12-01;DE;706;218184;13.868
2012-01-01;DE;863;224672;12.7713
2012-02-01;DE;858;223354;12.7713
2012-03-01;DE;1274;331479;12.7713
2012-04-01;DE;974;253462;12.7713
2012-05-01;DE;1107;288217;12.7713
2012-06-01;DE;1155;300710;12.7713
2012-07-01;DE;984;256202;12.7713
2012-08-01;DE;871;226722;12.7713
2012-09-01;DE;970;252401;12.7713
2012-10-01;DE;961;250183;12.7713
2012-11-01;DE;1011;263182;12.7713
2012-12-01;DE;814;211919;12.7713
2013-01-01;DE;1185;215192;11.6496
2013-02-01;DE;1178;213929;11.6496
2013-03-01;DE;1748;317491;11.6496
2013-04-01;DE;1337;242767;11.6496
2013-05-01;DE;1520;276055;11.6496
2013-06-01;DE;1586;288020;11.6496
2013-07-01;DE;1351;245391;11.6496
2013-08-01;DE;1196;217155;11.6496
2013-09-01;DE;1331;241751;11.6496
2013-10-01;DE;1319;239626;11.6496
2013-11-01;DE;1388;252076;11.6496
2013-12-01;DE;1118;202977;11.6496
2014-01-01;DE;944;221338;11.4574
2014-02-01;DE;939;220039;11.4574
2014-03-01;DE;1393;326559;11.4574
2014-04-01;DE;1065;249700;11.4574
2014-05-01;DE;1211;283939;11.4574
2014-06-01;DE;1264;296247;11.4574
2014-07-01;DE;1077;252400;11.4574
2014-08-01;DE;953;223357;11.4574
2014-09-01;DE;1061;248655;11.4574
2014-10-01;DE;1051;246470;11.4574
2014-11-01;DE;1106;259276;11.4574
2014-12-01;DE;891;208774;11.4574
2015-01-01;DE;921;233671;10.448
2015-02-01;DE;915;232300;10.448
2015-03-01;DE;1358;344756;10.448
2015-04-01;DE;1039;263614;10.448
2015-05-01;DE;1181;299761;10.448
2015-06-01;DE;1232;312754;10.448
2015-07-01;DE;1050;266464;10.448
2015-08-01;DE;929;235803;10.448
2015-09-01;DE;1034;262511;10.448
2015-10-01;DE;1025;260204;10.448
2015-11-01;DE;1078;273723;10.448
2015-12-01;DE;868;220407;10.448
2016-01-01;DE;976;244278;10.2891
2016-02-01;DE;971;242845;10.2891
2016-03-01;DE;1441;360405;10.2891
2016-04-01;DE;1102;275581;10.2891
2016-05-01;DE;1253;313368;10.2891
2016-06-01;DE;1307;326951;10.2891
2016-07-01;DE;1113;278560;10.2891
2016-08-01;DE;985;246507;10.2891
2016-09-01;DE;1097;274427;10.2891
2016-10-01;DE;1087;272016;10.2891
2016-11-01;DE;1144;286149;10.2891
2016-12-01;DE;921;230412;10.2891
2017-01-01;DE;1503;250810;10.4077
2017-02-01;DE;1495;249339;10.4077
2017-03-01;DE;2218;370043;10.4077
2017-04-01;DE;1696;282949;10.4077
2017-05-01;DE;1929;321747;10.4077
2017-06-01;DE;2012;335694;10.4077
2017-07-01;DE;1714;286009;10.4077
2017-08-01;DE;1517;253098;10.4077
2017-09-01;DE;1689;281765;10.4077
2017-10-01;DE;1674;279289;10.4077
2017-11-01;DE;1761;293800;10.4077
2017-12-01;DE;1418;236573;10.4077
2018-01-01;DE;744;252561;10.1503
2018-02-01;DE;738;250471;10.1503
2018-03-01;DE;995;337928;10.1503
2018-04-01;DE;923;313325;10.1503
2018-05-01;DE;900;305688;10.1503
2018-06-01;DE;993;337033;10.1503
2018-07-01;DE;883;299741;10.1503
2018-08-01;DE;740;251398;10.1503
2018-09-01;DE;790;268239;10.1503
2018-10-01;DE;855;290251;10.1503
2018-11-01;DE;859;291823;10.1503
2018-12-01;DE;699;237195;10.1503
2019-01-01;DE;597;266047;9.3619
2019-02-01;DE;592;263660;9.3619
2019-03-01;DE;797;355136;9.3619
