Date;Country;Sales_308;Market;SegmentMix
2008-01-01;DE;773;225222;11.5499
2008-02-01;DE;768;223900;11.5499
2008-03-01;DE;1140;332289;11.5499
2008-04-01;DE;872;254082;11.5499
2008-05-01;DE;991;288921;11.5499
2008-06-01;DE;1034;301445;11.5499
2008-07-01;DE;881;256829;11.5499
2008-08-01;DE;780;227276;11.5499
2008-09-01;DE;868;253018;11.5499
2008-10-01;DE;861;250795;11.5499
2008-11-01;DE;905;263825;11.5499
2008-12-01;DE;729;212437;11.5499
2009-01-01;DE;884;277491;14.5532
2009-02-01;DE;879;275863;14.5532
2009-03-01;DE;1305;409407;14.5532
2009-04-01;DE;998;313049;14.5532
2009-05-01;DE;1135;355974;14.5532
2009-06-01;DE;1184;371404;14.5532
2009-07-01;DE;1009;316433;14.5532
2009-08-01;DE;893;280022;14.5532
2009-09-01;DE;994;311739;14.5532
2009-10-01;DE;985;309000;14.5532
2009-11-01;DE;1036;325054;14.5532
2009-12-01;DE;834;261739;14.5532
2010-01-01;DE;794;212555;12.5421
2010-02-01;DE;789;211308;12.5421
2010-03-01;DE;1171;313602;12.5421
2010-04-01;DE;896;239792;12.5421
2010-05-01;DE;1018;272673;12.5421
2010-06-01;DE;1063;284492;12.5421
2010-07-01;DE;905;242385;12.5421
2010-08-01;DE;801;214494;12.5421
2010-09-01;DE;892;238789;12.5421
2010-10-01;DE;884;236691;12.5421
2010-11-01;DE;930;248988;12.5421
2010-12-01;DE;749;200490;12.5421
2011-01-01;DE;625;231315;10.5525
2011-02-01;DE;621;229957;10.5525
2011-03-01;DE;922;341279;10.5525
2011-04-01;DE;705;260955;10.5525
2011-05-01;DE;801;296738;10.5525
2011-06-01;DE;836;309600;10.5525
2011-07-01;DE;712;263777;10.5525
2011-08-01;DE;630;233425;10.5525
2011-09-01;DE;702;259863;10.5525
2011-10-01;DE;696;257580;10.5525
2011-11-01;DE;732;270963;10.5525
2011-12-01;DE;589;218184;10.5525
2012-01-01;DE;345;224672;10.4076
2012-02-01;DE;343;223354;10.4076
2012-03-01;DE;509;331479;10.4076
2012-04-01;DE;389;253462;10.4076
2012-05-01;DE;442;288217;10.4076
2012-06-01;DE;462;300710;10.4076
2012-07-01;DE;393;256202;10.4076
2012-08-01;DE;348;226722;10.4076
2012-09-01;DE;387;252401;10.4076
2012-10-01;DE;384;250183;10.4076
2012-11-01;DE;404;263182;10.4076
2012-12-01;DE;325;211919;10.4076
2013-01-01;DE;419;215192;11.7761
2013-02-01;DE;416;213929;11.7761
2013-03-01;DE;618;317491;11.7761
2013-04-01;DE;472;242767;11.7761
2013-05-01;DE;537;276055;11.7761
2013-06-01;DE;560;288020;11.7761
2013-07-01;DE;477;245391;11.7761
2013-08-01;DE;423;217155;11.7761
2013-09-01;DE;470;241751;11.7761
2013-10-01;DE;466;239626;11.7761
2013-11-01;DE;491;252076;11.7761
2013-12-01;DE;395;202977;11.7761
2014-01-01;DE;451;221338;9.3491
2014-02-01;DE;449;220039;9.3491
2014-03-01;DE;666;326559;9.3491
2014-04-01;DE;509;249700;9.3491
2014-05-01;DE;579;283939;9.3491
2014-06-01;DE;604;296247;9.3491
