Date;Country;Sales_C3;Market;SegmentMix
2007-01-01;DE;613;229458;16.2122
2007-02-01;DE;610;228112;16.2122
2007-03-01;DE;905;338540;16.2122
2007-04-01;DE;692;258861;16.2122
2007-05-01;DE;787;294356;16.2122
2007-06-01;DE;821;307115;16.2122
2007-07-01;DE;699;261660;16.2122
2007-08-01;DE;619;231551;16.2122
2007-09-01;DE;689;257777;16.2122
2007-10-01;DE;683;255513;16.2122
2007-11-01;DE;718;268788;16.2122
2007-12-01;DE;578;216433;16.2122
2008-01-01;DE;466;225222;14.418
2008-02-01;DE;464;223900;14.418
2008-03-01;DE;688;332289;14.418
2008-04-01;DE;526;254082;14.418
2008-05-01;DE;598;288921;14.418
2008-06-01;DE;624;301445;14.418
2008-07-01;DE;532;256829;14.418
2008-08-01;DE;471;227276;14.418
2008-09-01;DE;524;253018;14.418
2008-10-01;DE;519;250795;14.418
2008-11-01;DE;546;263825;14.418
2008-12-01;DE;440;212437;14.418
2009-01-01;DE;688;277491;21.159
2009-02-01;DE;684;275863;21.159
2009-03-01;DE;1016;409407;21.159
2009-04-01;DE;777;313049;21.159
2009-05-01;DE;883;355974;21.159
2009-06-01;DE;921;371404;21.159
2009-07-01;DE;785;316433;21.159
2009-08-01;DE;695;280022;21.159
2009-09-01;DE;773;311739;21.159
2009-10-01;DE;767;309000;21.159
2009-11-01;DE;806;325054;21.159
2009-12-01;DE;649;261739;21.159
2010-01-01;DE;660;212555;15.6086
2010-02-01;DE;657;211308;15.6086
2010-03-01;DE;974;313602;15.6086
2010-04-01;DE;745;239792;15.6086
2010-05-01;DE;847;272673;15.6086
2010-06-01;DE;884;284492;15.6086
2010-07-01;DE;753;242385;15.6086
2010-08-01;DE;666;214494;15.6086
2010-09-01;DE;742;238789;15.6086
2010-10-01;DE;735;236691;15.6086
2010-11-01;DE;774;248988;15.6086
2010-12-01;DE;623;200490;15.6086
2011-01-01;DE;512;231315;13.868
2011-02-01;DE;509;229957;13.868
2011-03-01;DE;755;341279;13.868
2011-04-01;DE;577;260955;13.868
2011-05-01;DE;657;296738;13.868
2011-06-01;DE;685;309600;13.868
2011-07-01;DE;584;263777;13.868
2011-08-01;DE;516;233425;13.868
2011-09-01;DE;575;259863;13.868
2011-10-01;DE;570;257580;13.868
2011-11-01;DE;600;270963;13.868
2011-12-01;DE;483;218184;13.868
2012-01-01;DE;453;224672;12.7713
2012-02-01;DE;451;223354;12.7713
2012-03-01;DE;669;331479;12.7713
2012-04-01;DE;511;253462;12.7713
2012-05-01;DE;581;288217;12.7713
2012-06-01;DE;607;300710;12.7713
2012-07-01;DE;517;256202;12.7713
2012-08-01;DE;457;226722;12.7713
2012-09-01;DE;509;252401;12.7713
2012-10-01;DE;505;250183;12.7713
2012-11-01;DE;531;263182;12.7713
2012-12-01;DE;427;211919;12.7713
2013-01-01;DE;348;215192;11.6496
2013-02-01;DE;346;213929;11.6496
2013-03-01;DE;514;317491;11.6496
2013-04-01;DE;393;242767;11.6496
2013-05-01;DE;447;276055;11.6496
2013-06-01;DE;466;288020;11.6496
2013-07-01;DE;397;245391;11.6496
2013-08-01;DE;351;217155;11.6496
2013-09-01;DE;391;241751;11.6496
2013-10-01;DE;388;239626;11.6496
2013-11-01;DE;408;252076;11.6496
2013-12-01;DE;328;202977;11.6496
2014-01-01;DE;555;221338;11.4574
2014-02-01;DE;552;220039;11.4574
2014-03-01;DE;819;326559;11.4574
2014-04-01;DE;626;249700;11.4574
2014-05-01;DE;712;283939;11.4574
2014-06-01;DE;743;296247;11.4574
2014-07-01;DE;633;252400;11.4574
2014-08-01;DE;560;223357;11.4574
2014-09-01;DE;624;248655;11.4574
2014-10-01;DE;618;246470;11.4574
2014-11-01;DE;650;259276;11.4574
2014-12-01;DE;524;208774;11.4574
2015-01-01;DE;392;233671;10.448
2015-02-01;DE;390;232300;10.448
2015-03-01;DE;579;344756;10.448
2015-04-01;DE;443;263614;10.448
2015-05-01;DE;503;299761;10.448
2015-06-01;DE;525;312754;10.448
2015-07-01;DE;447;266464;10.448
2015-08-01;DE;396;235803;10.448
2015-09-01;DE;441;262511;10.448
2015-10-01;DE;437;260204;10.448
2015-11-01;DE;460;273723;10.448
2015-12-01;DE;370;220407;10.448
2016-01-01;DE;520;244278;10.2891
2016-02-01;DE;517;242845;10.2891
2016-03-01;DE;767;360405;10.2891
2016-04-01;DE;587;275581;10.2891
2016-05-01;DE;667;313368;10.2891
2016-06-01;DE;696;326951;10.2891
2016-07-01;DE;593;278560;10.2891
2016-08-01;DE;525;246507;10.2891
2016-09-01;DE;584;274427;10.2891
2016-10-01;DE;579;272016;10.2891
2016-11-01;DE;609;286149;10.2891
2016-12-01;DE;491;230412;10.2891
2017-01-01;DE;1052;250810;10.4077
2017-02-01;DE;1046;249339;10.4077
2017-03-01;DE;1552;370043;10.4077
2017-04-01;DE;1187;282949;10.4077
2017-05-01;DE;1350;321747;10.4077
2017-06-01;DE;1408;335694;10.4077
2017-07-01;DE;1200;286009;10.4077
2017-08-01;DE;1062;253098;10.4077
2017-09-01;DE;1182;281765;10.4077
2017-10-01;DE;1172;279289;10.4077
2017-11-01;DE;1233;293800;10.4077
2017-12-01;DE;992;236573;10.4077
2018-01-01;DE;914;252561;10.1503
2018-02-01;DE;907;250471;10.1503
2018-03-01;DE;1223;337928;10.1503
2018-04-01;DE;1134;313325;10.1503
2018-05-01;DE;1107;305688;10.1503
2018-06-01;DE;1220;337033;10.1503
2018-07-01;DE;1085;299741;10.1503
2018-08-01;DE;910;251398;10.1503
2018-09-01;DE;971;268239;10.1503
2018-10-01;DE;1051;290251;10.1503
2018-11-01;DE;1056;291823;10.1503
2018-12-01;DE;859;237195;10.1503
2019-01-01;DE;730;266047;9.3619
2019-02-01;DE;724;263660;9.3619
2019-03-01;DE;975;355136;9.3619
2019-04-01;DE;903;328763;9.3619
2019-05-01;DE;926;337150;9.3619
2019-06-01;DE;882;321282;9.3619
2019-07-01;DE;903;329019;9.3619
2019-08-01;DE;691;251826;9.3619
2019-09-01;DE;812;295715;9.3619
2019-10-01;DE;835;304055;9.3619
2019-11-01;DE;801;291831;9.3619
2019-12-01;DE;721;262656;9.3619
2020-01-01;DE;730;266047;9.3619
2020-02-01;DE;724;263660;9.3619
2020-03-01;DE;975;355136;9.3619
2020-04-01;DE;903;328763;9.3619
2020-05-01;DE;926;337150;9.3619
2020-06-01;DE;882;321282;9.3619
2020-07-01;DE;903;329019;9.3619
2020-08-01;DE;691;251826;9.3619
2020-09-01;DE;812;295715;9.3619
2020-10-01;DE;835;304055;9.3619
2020-11-01;DE;801;291831;9.3619
2020-12-01;DE;721;262656;9.3619
2021-01-01;DE;0;219680;9.0231
2021-02-01;DE;0;237596;9.0231
2021-03-01;DE;0;305423;9.0231
2021-04-01;DE;0;271708;9.0231
2021-05-01;DE;0;272450;9.0231
2021-06-01;DE;0;307538;9.0231
2021-07-01;DE;0;242636;9.0231
2021-08-01;DE;0;144478;9.0231
2021-09-01;DE;0;240475;9.0231
2021-10-01;DE;0;254066;9.0231
2021-11-01;DE;0;226832;9.0231
2021-12-01;DE;0;277119;9.0231
2022-01-01;DE;0;232422;9.8397
2022-02-01;DE;0;251377;9.8397
2022-03-01;DE;0;323138;9.8397
2022-04-01;DE;0;287467;9.8397
2022-05-01;DE;0;288252;9.8397
2022-06-01;DE;0;325375;9.8397
2022-07-01;DE;0;256709;9.8397
2022-08-01;DE;0;152857;9.8397
2022-09-01;DE;0;254422;9.8397
2022-10-01;DE;0;268802;9.8397
2022-11-01;DE;0;239988;9.8397
2022-12-01;DE;0;293192;9.8397
2023-01-01;DE;0;234399;9.655
2023-02-01;DE;0;253515;9.655
2023-03-01;DE;0;325887;9.655
2023-04-01;DE;0;289912;9.655
2023-05-01;DE;0;290704;9.655
2023-06-01;DE;0;328143;9.655
2023-07-01;DE;0;258892;9.655
2023-08-01;DE;0;154158;9.655
2023-09-01;DE;0;256586;9.655
2023-10-01;DE;0;271088;9.655
2023-11-01;DE;0;242030;9.655
2023-12-01;DE;0;295686;9.655
2024-01-01;DE;0;237474;9.8579
2024-02-01;DE;0;256841;9.8579
2024-03-01;DE;0;330162;9.8579
2024-04-01;DE;0;293716;9.8579
2024-05-01;DE;0;294518;9.8579
2024-06-01;DE;0;332449;9.8579
2024-07-01;DE;0;262289;9.8579
2024-08-01;DE;0;156180;9.8579
2024-09-01;DE;0;259953;9.8579
2024-10-01;DE;0;274645;9.8579
2024-11-01;DE;0;245206;9.8579
2024-12-01;DE;0;299566;9.8579
2025-01-01;DE;0;228687;10.1637
2025-02-01;DE;0;247338;10.1637
2025-03-01;DE;0;317946;10.1637
2025-04-01;DE;0;282848;10.1637
2025-05-01;DE;0;283620;10.1637
2025-06-01;DE;0;320147;10.1637
2025-07-01;DE;0;252584;10.1637
2025-08-01;DE;0;150401;10.1637
2025-09-01;DE;0;250334;10.1637
2025-10-01;DE;0;264483;10.1637
2025-11-01;DE;0;236132;10.1637
2025-12-01;DE;0;288481;10.1637
2026-01-01;DE;0;229200;10.4204
2026-02-01;DE;0;247892;10.4204
2026-03-01;DE;0;318658;10.4204
2026-04-01;DE;0;283482;10.4204
2026-05-01;DE;0;284256;10.4204
2026-06-01;DE;0;320865;10.4204
2026-07-01;DE;0;253150;10.4204
2026-08-01;DE;0;150738;10.4204
2026-09-01;DE;0;250895;10.4204
2026-10-01;DE;0;265076;10.4204
2026-11-01;DE;0;236662;10.4204
2026-12-01;DE;0;289128;10.4204
2027-01-01;DE;0;225392;9.8554
2027-02-01;DE;0;243774;9.8554
2027-03-01;DE;0;313364;9.8554
2027-04-01;DE;0;278772;9.8554
2027-05-01;DE;0;279533;9.8554
2027-06-01;DE;0;315534;9.8554
2027-07-01;DE;0;248944;9.8554
2027-08-01;DE;0;148234;9.8554
2027-09-01;DE;0;246727;9.8554
2027-10-01;DE;0;260672;9.8554
2027-11-01;DE;0;232730;9.8554
2027-12-01;DE;0;284324;9.8554
2007-01-01;ES;2277;117847;22.7234
2007-02-01;ES;2626;135913;22.7234
2007-03-01;ES;3415;176748;22.7234
2007-04-01;ES;2404;124430;22.7234
2007-05-01;ES;3200;165606;22.7234
2007-06-01;ES;3459;179023;22.7234
2007-07-01;ES;2858;147905;22.7234
2007-08-01;ES;1750;90594;22.7234
2007-09-01;ES;2015;104285;22.7234
2007-10-01;ES;2339;121060;22.7234
2007-11-01;ES;2450;126792;22.7234
2007-12-01;ES;2408;124631;22.7234
2008-01-01;ES;1239;84740;22.683
2008-02-01;ES;1429;97730;22.683
2008-03-01;ES;1858;127094;22.683
2008-04-01;ES;1308;89474;22.683
2008-05-01;ES;1741;119082;22.683
2008-06-01;ES;1882;128730;22.683
