Date;Country;Sales_2008;Market;SegmentMix
2013-01-01;DE;491;215192;1.8732
2013-02-01;DE;488;213929;1.8732
2013-03-01;DE;724;317491;1.8732
2013-04-01;DE;554;242767;1.8732
2013-05-01;DE;630;276055;1.8732
2013-06-01;DE;657;288020;1.8732
2013-07-01;DE;560;245391;1.8732
2013-08-01;DE;495;217155;1.8732
2013-09-01;DE;552;241751;1.8732
2013-10-01;DE;547;239626;1.8732
2013-11-01;DE;575;252076;1.8732
2013-12-01;DE;463;202977;1.8732
2014-01-01;DE;784;221338;2.6546
2014-02-01;DE;779;220039;2.6546
2014-03-01;DE;1156;326559;2.6546
2014-04-01;DE;884;249700;2.6546
2014-05-01;DE;1005;283939;2.6546
2014-06-01;DE;1049;296247;2.6546
2014-07-01;DE;894;252400;2.6546
2014-08-01;DE;791;223357;2.6546
2014-09-01;DE;880;248655;2.6546
2014-10-01;DE;873;246470;2.6546
2014-11-01;DE;918;259276;2.6546
2014-12-01;DE;739;208774;2.6546
2015-01-01;DE;776;233671;3.6798
2015-02-01;DE;771;232300;3.6798
2015-03-01;DE;1145;344756;3.6798
2015-04-01;DE;875;263614;3.6798
2015-05-01;DE;995;299761;3.6798
2015-06-01;DE;1038;312754;3.6798
2015-07-01;DE;885;266464;3.6798
2015-08-01;DE;783;235803;3.6798
2015-09-01;DE;871;262511;3.6798
2015-10-01;DE;864;260204;3.6798
2015-11-01;DE;909;273723;3.6798
2015-12-01;DE;732;220407;3.6798
2016-01-01;DE;1054;244278;4.3307
2016-02-01;DE;1047;242845;4.3307
2016-03-01;DE;1555;360405;4.3307
2016-04-01;DE;1189;275581;4.3307
2016-05-01;DE;1352;313368;4.3307
2016-06-01;DE;1410;326951;4.3307
2016-07-01;DE;1202;278560;4.3307
2016-08-01;DE;1063;246507;4.3307
2016-09-01;DE;1184;274427;4.3307
2016-10-01;DE;1173;272016;4.3307
2016-11-01;DE;1234;286149;4.3307
2016-12-01;DE;994;230412;4.3307
2017-01-01;DE;958;250810;5.0597
2017-02-01;DE;952;249339;5.0597
2017-03-01;DE;1413;370043;5.0597
2017-04-01;DE;1080;282949;5.0597
2017-05-01;DE;1229;321747;5.0597
2017-06-01;DE;1282;335694;5.0597
2017-07-01;DE;1092;286009;5.0597
2017-08-01;DE;966;253098;5.0597
2017-09-01;DE;1076;281765;5.0597
2017-10-01;DE;1066;279289;5.0597
2017-11-01;DE;1122;293800;5.0597
2017-12-01;DE;903;236573;5.0597
2018-01-01;DE;1044;252561;7.4691
2018-02-01;DE;1036;250471;7.4691
2018-03-01;DE;1397;337928;7.4691
2018-04-01;DE;1296;313325;7.4691
2018-05-01;DE;1264;305688;7.4691
2018-06-01;DE;1394;337033;7.4691
2018-07-01;DE;1240;299741;7.4691
2018-08-01;DE;1040;251398;7.4691
2018-09-01;DE;1109;268239;7.4691
2018-10-01;DE;1200;290251;7.4691
2018-11-01;DE;1207;291823;7.4691
2018-12-01;DE;981;237195;7.4691
2019-01-01;DE;908;266047;8.8062
2019-02-01;DE;899;263660;8.8062
2019-03-01;DE;1211;355136;8.8062
2019-04-01;DE;1122;328763;8.8062
2019-05-01;DE;1150;337150;8.8062
2019-06-01;DE;1096;321282;8.8062
2019-07-01;DE;1122;329019;8.8062
2019-08-01;DE;859;251826;8.8062
2019-09-01;DE;1009;295715;8.8062
2019-10-01;DE;1037;304055;8.8062
2019-11-01;DE;996;291831;8.8062
2019-12-01;DE;896;262656;8.8062
2020-01-01;DE;908;266047;8.8062
2020-02-01;DE;899;263660;8.8062
2020-03-01;DE;1211;355136;8.8062
2020-04-01;DE;1122;328763;8.8062
2020-05-01;DE;1150;337150;8.8062
2020-06-01;DE;1096;321282;8.8062
2020-07-01;DE;1122;329019;8.8062
2020-08-01;DE;859;251826;8.8062
2020-09-01;DE;1009;295715;8.8062
2020-10-01;DE;1037;304055;8.8062
2020-11-01;DE;996;291831;8.8062
2020-12-01;DE;896;262656;8.8062
2021-01-01;DE;0;219680;10.9017
2021-02-01;DE;0;237596;10.9017
2021-03-01;DE;0;305423;10.9017
2021-04-01;DE;0;271708;10.9017
2021-05-01;DE;0;272450;10.9017
2021-06-01;DE;0;307538;10.9017
2021-07-01;DE;0;242636;10.9017
2021-08-01;DE;0;144478;10.9017
2021-09-01;DE;0;240475;10.9017
2021-10-01;DE;0;254066;10.9017
2021-11-01;DE;0;226832;10.9017
2021-12-01;DE;0;277119;10.9017
2022-01-01;DE;0;232422;11.8012
2022-02-01;DE;0;251377;11.8012
2022-03-01;DE;0;323138;11.8012
2022-04-01;DE;0;287467;11.8012
2022-05-01;DE;0;288252;11.8012
2022-06-01;DE;0;325375;11.8012
2022-07-01;DE;0;256709;11.8012
2022-08-01;DE;0;152857;11.8012
2022-09-01;DE;0;254422;11.8012
2022-10-01;DE;0;268802;11.8012
2022-11-01;DE;0;239988;11.8012
2022-12-01;DE;0;293192;11.8012
2023-01-01;DE;0;234399;11.6388
2023-02-01;DE;0;253515;11.6388
2023-03-01;DE;0;325887;11.6388
2023-04-01;DE;0;289912;11.6388
2023-05-01;DE;0;290704;11.6388
2023-06-01;DE;0;328143;11.6388
2023-07-01;DE;0;258892;11.6388
2023-08-01;DE;0;154158;11.6388
2023-09-01;DE;0;256586;11.6388
2023-10-01;DE;0;271088;11.6388
2023-11-01;DE;0;242030;11.6388
2023-12-01;DE;0;295686;11.6388
2024-01-01;DE;0;237474;13.0793
2024-02-01;DE;0;256841;13.0793
2024-03-01;DE;0;330162;13.0793
2024-04-01;DE;0;293716;13.0793
2024-05-01;DE;0;294518;13.0793
2024-06-01;DE;0;332449;13.0793
2024-07-01;DE;0;262289;13.0793
2024-08-01;DE;0;156180;13.0793
2024-09-01;DE;0;259953;13.0793
2024-10-01;DE;0;274645;13.0793
2024-11-01;DE;0;245206;13.0793
2024-12-01;DE;0;299566;13.0793
2025-01-01;DE;0;228687;12.5257
2025-02-01;DE;0;247338;12.5257
2025-03-01;DE;0;317946;12.5257
2025-04-01;DE;0;282848;12.5257
2025-05-01;DE;0;283620;12.5257
2025-06-01;DE;0;320147;12.5257
2025-07-01;DE;0;252584;12.5257
2025-08-01;DE;0;150401;12.5257
2025-09-01;DE;0;250334;12.5257
2025-10-01;DE;0;264483;12.5257
2025-11-01;DE;0;236132;12.5257
2025-12-01;DE;0;288481;12.5257
2026-01-01;DE;0;229200;12.5991
2026-02-01;DE;0;247892;12.5991
2026-03-01;DE;0;318658;12.5991
2026-04-01;DE;0;283482;12.5991
2026-05-01;DE;0;284256;12.5991
2026-06-01;DE;0;320865;12.5991
2026-07-01;DE;0;253150;12.5991
2026-08-01;DE;0;150738;12.5991
2026-09-01;DE;0;250895;12.5991
2026-10-01;DE;0;265076;12.5991
2026-11-01;DE;0;236662;12.5991
2026-12-01;DE;0;289128;12.5991
2027-01-01;DE;0;225392;12.6629
2027-02-01;DE;0;243774;12.6629
2027-03-01;DE;0;313364;12.6629
2027-04-01;DE;0;278772;12.6629
2027-05-01;DE;0;279533;12.6629
2027-06-01;DE;0;315534;12.6629
2027-07-01;DE;0;248944;12.6629
2027-08-01;DE;0;148234;12.6629
2027-09-01;DE;0;246727;12.6629
2027-10-01;DE;0;260672;12.6629
2027-11-01;DE;0;232730;12.6629
2027-12-01;DE;0;284324;12.6629
2013-01-01;ES;228;52740;3.1781
2013-02-01;ES;263;60825;3.1781
2013-03-01;ES;341;79100;3.1781
2013-04-01;ES;240;55687;3.1781
2013-05-01;ES;320;74114;3.1781
2013-06-01;ES;346;80118;3.1781
2013-07-01;ES;286;66192;3.1781
2013-08-01;ES;175;40544;3.1781
2013-09-01;ES;201;46671;3.1781
2013-10-01;ES;234;54178;3.1781
2013-11-01;ES;245;56743;3.1781
2013-12-01;ES;241;55776;3.1781
2014-01-01;ES;649;62418;5.0703
2014-02-01;ES;749;71987;5.0703
2014-03-01;ES;973;93616;5.0703
2014-04-01;ES;685;65905;5.0703
2014-05-01;ES;912;87714;5.0703
2014-06-01;ES;986;94821;5.0703
2014-07-01;ES;815;78339;5.0703
2014-08-01;ES;499;47984;5.0703
2014-09-01;ES;574;55235;5.0703
2014-10-01;ES;667;64120;5.0703
2014-11-01;ES;698;67156;5.0703
2014-12-01;ES;686;66012;5.0703
2015-01-01;ES;1081;75476;8.0475
2015-02-01;ES;1247;87046;8.0475
2015-03-01;ES;1621;113199;8.0475
2015-04-01;ES;1141;79692;8.0475
2015-05-01;ES;1519;106064;8.0475
2015-06-01;ES;1642;114656;8.0475
2015-07-01;ES;1357;94727;8.0475
2015-08-01;ES;831;58022;8.0475
2015-09-01;ES;957;66790;8.0475
2015-10-01;ES;1111;77533;8.0475
2015-11-01;ES;1163;81205;8.0475
2015-12-01;ES;1143;79821;8.0475
2016-01-01;ES;1236;83706;9.5735
2016-02-01;ES;1426;96538;9.5735
2016-03-01;ES;1854;125543;9.5735
2016-04-01;ES;1305;88382;9.5735
2016-05-01;ES;1737;117629;9.5735
2016-06-01;ES;1878;127159;9.5735
2016-07-01;ES;1551;105056;9.5735
2016-08-01;ES;950;64349;9.5735
2016-09-01;ES;1094;74073;9.5735
2016-10-01;ES;1270;85988;9.5735
2016-11-01;ES;1330;90060;9.5735
2016-12-01;ES;1307;88525;9.5735
2017-01-01;ES;1421;90123;11.1329
2017-02-01;ES;1639;103938;11.1329
2017-03-01;ES;2132;135167;11.1329
2017-04-01;ES;1501;95157;11.1329
2017-05-01;ES;1997;126646;11.1329
2017-06-01;ES;2159;136906;11.1329
2017-07-01;ES;1784;113109;11.1329
2017-08-01;ES;1093;69281;11.1329
2017-09-01;ES;1258;79751;11.1329
2017-10-01;ES;1460;92579;11.1329
2017-11-01;ES;1529;96963;11.1329
2017-12-01;ES;1503;95311;11.1329
2018-01-01;ES;1712;99845;14.8068
2018-02-01;ES;1865;108728;14.8068
2018-03-01;ES;2210;128841;14.8068
2018-04-01;ES;2032;118487;14.8068
2018-05-01;ES;2293;133723;14.8068
2018-06-01;ES;2382;138883;14.8068
2018-07-01;ES;2153;125559;14.8068
