YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;cruiser;29220.409713506564
2022;IT;cruiser;33307.51847461335
2023;IT;cruiser;35036.470781422584
2024;IT;cruiser;41247.49767036471
2025;IT;cruiser;47558.52285565525
2026;IT;cruiser;45000.49081623867
2027;IT;cruiser;43144.273907957475
2021;GB;cruiser;29451.23144429364
2022;GB;cruiser;29072.978737436
2023;GB;cruiser;28661.43049845468
2024;GB;cruiser;28249.882259473357
2025;GB;cruiser;27838.33402049204
2026;GB;cruiser;27426.785781510727
2027;GB;cruiser;27015.237542529412
2021;FR;cruiser;95982.98439416404
2022;FR;cruiser;98239.79855352119
2023;FR;cruiser;98552.61918251157
2024;FR;cruiser;99011.85301059147
2025;FR;cruiser;96315.68047635698
2026;FR;cruiser;97182.6778353788
2027;FR;cruiser;97337.08872679285
2021;ES;cruiser;18754.835662195044
2022;ES;cruiser;24370.608735792644
2023;ES;cruiser;25293.709714900513
2024;ES;cruiser;26005.60388874301
2025;ES;cruiser;26527.766378632543
2026;ES;cruiser;26714.106432286633
2027;ES;cruiser;26642.53877397434
2021;DE;cruiser;11358.823012798737
2022;DE;cruiser;9835.318662725182
2023;DE;cruiser;8676.88317346056
2024;DE;cruiser;7518.447684195937
2025;DE;cruiser;6360.012194931312
2026;DE;cruiser;5206.0933890252445
2027;DE;cruiser;4357.932596161686
