YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;offroad;38665.125497971465
2022;IT;offroad;43276.458613487805
2023;IT;offroad;45971.28620794594
2024;IT;offroad;51463.91367487975
2025;IT;offroad;57106.41639920939
2026;IT;offroad;55809.54610438232
2027;IT;offroad;55224.04495327445
2021;GB;offroad;21978.218082873056
2022;GB;offroad;20527.14692610059
2023;GB;offroad;20241.809492248412
2024;GB;offroad;18621.218482032185
2025;GB;offroad;18339.591758071427
2026;GB;offroad;18433.605292316202
2027;GB;offroad;18196.16215270801
2021;FR;offroad;71379.18853298275
2022;FR;offroad;74441.08623420526
2023;FR;offroad;75405.81520750829
2024;FR;offroad;76625.38784365306
2025;FR;offroad;74683.23418554738
2026;FR;offroad;76277.31655189603
2027;FR;offroad;77172.25889852946
2021;ES;offroad;17913.61005959935
2022;ES;offroad;18805.37018315
2023;ES;offroad;19599.206373227662
2024;ES;offroad;22337.245495867388
2025;ES;offroad;23437.011289109472
2026;ES;offroad;25423.352362233913
2027;ES;offroad;26289.6423814569
2021;DE;offroad;9958.386790828186
2022;DE;offroad;10576.287846510937
2023;DE;offroad;10719.45652671234
2024;DE;offroad;10956.318125818367
2025;DE;offroad;10861.270580649312
2026;DE;offroad;11031.431141619954
2027;DE;offroad;10944.490057030242
