YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;totalproduct;41230.659561665205
2022;IT;totalproduct;44092.78816054089
2023;IT;totalproduct;45211.167212554436
2024;IT;totalproduct;49194.65410765161
2025;IT;totalproduct;53138.67655599778
2026;IT;totalproduct;51494.12168434927
2027;IT;totalproduct;50270.440281079296
2021;GB;totalproduct;18566.646200556217
2022;GB;totalproduct;18476.087229526325
2023;GB;totalproduct;18521.117446131782
2024;GB;totalproduct;18566.14766273725
2025;GB;totalproduct;18611.17787934271
2026;GB;totalproduct;18656.208095948175
2027;GB;totalproduct;18701.23831255364
2021;FR;totalproduct;73265.60740214556
2022;FR;totalproduct;75180.89014125802
2023;FR;totalproduct;75446.37055250918
2024;FR;totalproduct;75836.10695171208
2025;FR;totalproduct;73547.95544615816
2026;FR;totalproduct;74283.74712386707
2027;FR;totalproduct;74414.79048595787
2021;ES;totalproduct;18932.41145735588
2022;ES;totalproduct;19690.766056069722
2023;ES;totalproduct;20762.935497681356
2024;ES;totalproduct;23692.98916404589
2025;ES;totalproduct;25010.15353859428
2026;ES;totalproduct;27214.873250228728
2027;ES;totalproduct;28299.071733223656
2021;DE;totalproduct;11350.40658636459
2022;DE;totalproduct;11472.208304894612
2023;DE;totalproduct;11574.83004581537
2024;DE;totalproduct;11677.451786736128
2025;DE;totalproduct;11780.073527656885
2026;DE;totalproduct;11882.695268577641
2027;DE;totalproduct;11985.3170094984
