YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;cruiser;23408.321945055806
2022;IT;cruiser;27495.430706162595
2023;IT;cruiser;29224.383012971823
2024;IT;cruiser;35435.409901913954
2025;IT;cruiser;41746.43508720448
2026;IT;cruiser;39188.40304778792
2027;IT;cruiser;37332.18613950672
2021;GB;cruiser;5993.585207009624
2022;GB;cruiser;5615.332500151975
2023;GB;cruiser;5203.78426117066
2024;GB;cruiser;4792.236022189341
2025;GB;cruiser;4380.687783208026
2026;GB;cruiser;3969.1395442267085
2027;GB;cruiser;3557.5913052453916
2021;FR;cruiser;83184.07448743816
2022;FR;cruiser;85440.88864679528
2023;FR;cruiser;85753.70927578566
2024;FR;cruiser;86212.94310386559
2025;FR;cruiser;83516.77056963109
2026;FR;cruiser;84383.7679286529
2027;FR;cruiser;84538.17882006695
2021;ES;cruiser;15296.719057762934
2022;ES;cruiser;20912.492131360537
2023;ES;cruiser;21835.593110468406
2024;ES;cruiser;22547.487284310897
2025;ES;cruiser;23069.64977420043
2026;ES;cruiser;23255.989827854522
2027;ES;cruiser;23184.42216954224
2021;DE;cruiser;4439.861252852485
2022;DE;cruiser;2916.35690277893
2023;DE;cruiser;1757.9214135143081
2024;DE;cruiser;599.485924249685
2025;DE;cruiser;-558.9495650149383
2026;DE;cruiser;-1712.8683709210059
2027;DE;cruiser;-2561.0291637845653
