YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;offroad;32704.04609368233
2022;IT;offroad;37315.37920919867
2023;IT;offroad;40010.206803656816
2024;IT;offroad;45502.834270590625
2025;IT;offroad;51145.33699492025
2026;IT;offroad;49848.46670009318
2027;IT;offroad;49262.96554898531
2021;GB;offroad;11922.550999072682
2022;GB;offroad;10471.479842300218
2023;GB;offroad;10186.142408448039
2024;GB;offroad;8565.551398231813
2025;GB;offroad;8283.924674271055
2026;GB;offroad;8377.938208515829
2027;GB;offroad;8140.495068907637
2021;FR;offroad;60119.410261000376
2022;FR;offroad;63181.30796222288
2023;FR;offroad;64146.03693552591
2024;FR;offroad;65365.60957167069
2025;FR;offroad;63423.455913565
2026;FR;offroad;65017.53827991365
2027;FR;offroad;65912.48062654708
2021;ES;offroad;15105.301747505244
2022;ES;offroad;15997.061871055897
2023;ES;offroad;16790.89806113356
2024;ES;offroad;19528.937183773283
2025;ES;offroad;20628.70297701537
2026;ES;offroad;22615.04405013981
2027;ES;offroad;23481.334069362798
2021;DE;offroad;7372.21227877931
2022;DE;offroad;7990.11333446206
2023;DE;offroad;8133.282014663465
2024;DE;offroad;8370.143613769487
2025;DE;offroad;8275.096068600436
2026;DE;offroad;8445.256629571075
2027;DE;offroad;8358.315544981366
