YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;totalproduct;33488.4483696019
2022;IT;totalproduct;36350.57696847759
2023;IT;totalproduct;37468.95602049112
2024;IT;totalproduct;41452.44291558831
2025;IT;totalproduct;45396.46536393447
2026;IT;totalproduct;43751.91049228597
2027;IT;totalproduct;42528.229089015986
2021;GB;totalproduct;8978.428623556985
2022;GB;totalproduct;8887.869652527092
2023;GB;totalproduct;8932.899869132552
2024;GB;totalproduct;8977.930085738017
2025;GB;totalproduct;9022.960302343483
2026;GB;totalproduct;9067.990518948945
2027;GB;totalproduct;9113.02073555441
2021;FR;totalproduct;61082.079558841855
2022;FR;totalproduct;62997.36229795431
2023;FR;totalproduct;63262.842709205455
2024;FR;totalproduct;63652.57910840839
2025;FR;totalproduct;61364.427602854455
2026;FR;totalproduct;62100.21928056335
2027;FR;totalproduct;62231.26264265417
2021;ES;totalproduct;16069.830350062522
2022;ES;totalproduct;16828.184948776365
2023;ES;totalproduct;17900.354390387998
2024;ES;totalproduct;20830.408056752534
2025;ES;totalproduct;22147.572431300927
2026;ES;totalproduct;24352.29214293537
2027;ES;totalproduct;25436.490625930295
2021;DE;totalproduct;8971.5891647234
2022;DE;totalproduct;9093.390883253422
2023;DE;totalproduct;9196.01262417418
2024;DE;totalproduct;9298.634365094937
2025;DE;totalproduct;9401.256106015695
2026;DE;totalproduct;9503.877846936452
2027;DE;totalproduct;9606.49958785721
