YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;cruiser;26314.365829281185
2022;IT;cruiser;30401.474590387974
2023;IT;cruiser;32130.4268971972
2024;IT;cruiser;38341.45378613933
2025;IT;cruiser;44652.47897142986
2026;IT;cruiser;42094.44693201331
2027;IT;cruiser;40238.23002373209
2021;GB;cruiser;17722.40832565163
2022;GB;cruiser;17344.155618793982
2023;GB;cruiser;16932.607379812667
2024;GB;cruiser;16521.05914083135
2025;GB;cruiser;16109.510901850037
2026;GB;cruiser;15697.962662868718
2027;GB;cruiser;15286.4144238874
2021;FR;cruiser;89583.52944080111
2022;FR;cruiser;91840.34360015823
2023;FR;cruiser;92153.1642291486
2024;FR;cruiser;92612.39805722852
2025;FR;cruiser;89916.22552299402
2026;FR;cruiser;90783.22288201585
2027;FR;cruiser;90937.6337734299
2021;ES;cruiser;17025.77735997899
2022;ES;cruiser;22641.55043357659
2023;ES;cruiser;23564.65141268446
2024;ES;cruiser;24276.54558652695
2025;ES;cruiser;24798.70807641649
2026;ES;cruiser;24985.04813007058
2027;ES;cruiser;24913.48047175829
2021;DE;cruiser;7899.34213282561
2022;DE;cruiser;6375.837782752056
2023;DE;cruiser;5217.402293487434
2024;DE;cruiser;4058.9668042228113
2025;DE;cruiser;2900.5313149581875
2026;DE;cruiser;1746.6125090521205
2027;DE;cruiser;898.4517161885605
