YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;totalproduct;37359.55396563355
2022;IT;totalproduct;40221.68256450923
2023;IT;totalproduct;41340.06161652277
2024;IT;totalproduct;45323.54851161996
2025;IT;totalproduct;49267.570959966135
2026;IT;totalproduct;47623.01608831762
2027;IT;totalproduct;46399.33468504764
2021;GB;totalproduct;13772.537412056603
2022;GB;totalproduct;13681.978441026708
2023;GB;totalproduct;13727.008657632166
2024;GB;totalproduct;13772.03887423763
2025;GB;totalproduct;13817.069090843095
2026;GB;totalproduct;13862.099307448561
2027;GB;totalproduct;13907.129524054024
2021;FR;totalproduct;67173.84348049371
2022;FR;totalproduct;69089.12621960616
2023;FR;totalproduct;69354.60663085732
2024;FR;totalproduct;69744.34303006023
2025;FR;totalproduct;67456.19152450631
2026;FR;totalproduct;68191.9832022152
2027;FR;totalproduct;68323.02656430603
2021;ES;totalproduct;17501.1209037092
2022;ES;totalproduct;18259.47550242304
2023;ES;totalproduct;19331.644944034677
2024;ES;totalproduct;22261.69861039921
2025;ES;totalproduct;23578.862984947606
2026;ES;totalproduct;25783.582696582045
2027;ES;totalproduct;26867.78117957697
2021;DE;totalproduct;10160.997875543993
2022;DE;totalproduct;10282.799594074015
2023;DE;totalproduct;10385.421334994773
2024;DE;totalproduct;10488.043075915532
2025;DE;totalproduct;10590.664816836292
2026;DE;totalproduct;10693.286557757046
2027;DE;totalproduct;10795.908298677805
